"Authorize","Autoritzar"
"Authorize and Capture","Autoritzar i Capturar"
"Payment Action","Acció de Pagament"
"Choose whether to only authorize payments or to authorize and capture them immediately. Note: Pre-authorization (Authorize option) is only supported for card payments, not for MBWay or Multibanco.","Trieu si voleu només autoritzar els pagaments o autoritzar-los i capturar-los immediatament. Nota: La preautorització (opció Autoritzar) només és compatible amb pagaments amb targeta, no amb MBWay o Multibanco."
"Authorized Status","Estat Autoritzat"
"Captured Status","Estat Capturat"
"Test","Test"
"Production","Producció"
"Callback signature verification failed","La verificació de la signatura de retorn ha fallat"
"Something went wrong while processing the payment. Quote was restored.","S'ha produït un error en processar el pagament. S'ha restaurat el carret."
"Something went wrong while processing the payment. Cannot restore previous quote.","S'ha produït un error en processar el pagament. No es pot restaurar el carret anterior."
"Payment was canceled. Quote was restored.","El pagament s'ha cancel·lat. S'ha restaurat el carret."
"Duplicated","Duplicat"
"Fraudulent","Fraudulent"
"Requested by customer","Sol·licitat pel client"
"Required parameter ""%1"" is missing or empty.","El paràmetre requerit ""%1"" falta o està buit."
"MONEI - Pending","MONEI - Pendent"
"MONEI - Authorized","MONEI - Autoritzat"
"MONEI - Expired","MONEI - Caducat"
"MONEI - Failed","MONEI - Fallat"
"MONEI - Succeeded","MONEI - Exitós"
"MONEI - Partially Refunded","MONEI - Reemborsat Parcialment"
"MONEI - Refunded","MONEI - Reemborsat"
"Cancellation reason '%1' is not valid. Allowed reasons: %2","El motiu de cancel·lació '%1' no és vàlid. Motius permesos: %2"
"%1 should be numeric value","%1 ha de ser un valor numèric"
"Refund reason","Motiu del reemborsament"
"Pay with Monei","Pagar amb MONEI"
"method:","Mètode"
"last4:","Últims 4 dígits"
"brand:","Marca"
"phoneNumber:","Número de telèfon"
"Cardholder","Titular de la targeta"
"Payment Method","Mètode de pagament"
"Digital Wallet","Moneder digital"
"Issuing Bank","Banc emissor"
"Phone Number","Número de telèfon"
"Country","País"
"Country Code","Codi de país"
"Required parameters are missing. Cannot proceed with cancellation.","Falten paràmetres obligatoris. No es pot procedir amb la cancel·lació."
"MONEI payment cancellation failed: %1","La cancel·lació del pagament MONEI ha fallat: %1"
"MONEI payment cancellation failed. Please check the logs for more details.","La cancel·lació del pagament MONEI ha fallat. Consulteu els registres per a més detalls."
"The order has been successfully canceled.","La comanda s'ha cancel·lat correctament."
"Order cancellation failed: %1","La cancel·lació de la comanda ha fallat: %1"
"An unexpected error occurred during payment cancellation. Please check the logs for more details.","S'ha produït un error inesperat durant la cancel·lació del pagament. Consulteu els registres per a més detalls."
"Invalid request: %1","Sol·licitud no vàlida: %1"
"Payment required: %1","Pagament requerit: %1"
"Resource not found: %1","Recurs no trobat: %1"
"Operation conflict: %1","Conflicte d'operació: %1"
"Validation error: %1","Error de validació: %1"
"An error occurred during the payment process","S'ha produït un error durant el procés de pagament"
"Please enter the name on the card.","Introduïu el nom que apareix a la targeta."
"Please enter the name exactly as it appears on the card.","Introduïu el nom exactament com apareix a la targeta."
"(Test Mode)","(Mode de Prova)"
"Payment ID","ID de Pagament"
"Authorization Code","Codi d'Autorització"
"Cardholder Email","Correu electrònic del titular"
"IBAN","IBAN"
"Account Holder","Titular del Compte"
"MONEI","MONEI"
"Current Version","Versió Actual"
"Webservice Settings:","Configuració del Servei Web:"
"Mode","Mode"
