"Authorize","Autorisieren"
"Authorize and Capture","Autorisieren und Erfassen"
"Payment Action","Zahlungsaktion"
"Choose whether to only authorize payments or to authorize and capture them immediately. Note: Pre-authorization (Authorize option) is only supported for card payments, not for MBWay or Multibanco.","Wählen Sie, ob Sie Zahlungen nur autorisieren oder sofort autorisieren und erfassen möchten. Hinweis: Vorautorisierung (Option Autorisieren) wird nur für Kartenzahlungen unterstützt, nicht für MBWay oder Multibanco."
"Authorized Status","Autorisierter Status"
"Captured Status","Erfasster Status"
"Test","Test"
"Production","Produktion"
"Callback signature verification failed","Überprüfung der Callback-Signatur fehlgeschlagen"
"Something went wrong while processing the payment. Quote was restored.","Bei der Verarbeitung der Zahlung ist ein Fehler aufgetreten. Der Warenkorb wurde wiederhergestellt."
"Something went wrong while processing the payment. Cannot restore previous quote.","Bei der Verarbeitung der Zahlung ist ein Fehler aufgetreten. Der vorherige Warenkorb kann nicht wiederhergestellt werden."
"Payment was canceled. Quote was restored.","Die Zahlung wurde storniert. Der Warenkorb wurde wiederhergestellt."
"Duplicated","Dupliziert"
"Fraudulent","Betrügerisch"
"Requested by customer","Vom Kunden angefordert"
"Required parameter ""%1"" is missing or empty.","Der erforderliche Parameter ""%1"" fehlt oder ist leer."
"MONEI - Pending","MONEI - Ausstehend"
"MONEI - Authorized","MONEI - Autorisiert"
"MONEI - Expired","MONEI - Abgelaufen"
"MONEI - Failed","MONEI - Fehlgeschlagen"
"MONEI - Succeeded","MONEI - Erfolgreich"
"MONEI - Partially Refunded","MONEI - Teilweise Erstattet"
"MONEI - Refunded","MONEI - Erstattet"
"Cancellation reason '%1' is not valid. Allowed reasons: %2","Stornierungsgrund '%1' ist nicht gültig. Erlaubte Gründe: %2"
"%1 should be numeric value","%1 sollte ein numerischer Wert sein"
"Refund reason","Erstattungsgrund"
"Pay with Monei","Mit MONEI bezahlen"
"method:","Methode"
"last4:","Letzte 4 Ziffern"
"brand:","Marke"
"phoneNumber:","Telefonnummer"
"Cardholder","Karteninhaber"
"Payment Method","Zahlungsmethode"
"Digital Wallet","Digitale Geldbörse"
"Issuing Bank","Ausstellende Bank"
"Phone Number","Telefonnummer"
"Country","Land"
"Country Code","Ländercode"
"Required parameters are missing. Cannot proceed with cancellation.","Erforderliche Parameter fehlen. Die Stornierung kann nicht fortgesetzt werden."
"MONEI payment cancellation failed: %1","MONEI-Zahlungsstornierung fehlgeschlagen: %1"
"MONEI payment cancellation failed. Please check the logs for more details.","MONEI-Zahlungsstornierung fehlgeschlagen. Bitte überprüfen Sie die Protokolle für weitere Details."
"The order has been successfully canceled.","Die Bestellung wurde erfolgreich storniert."
"Order cancellation failed: %1","Bestellungsstornierung fehlgeschlagen: %1"
"An unexpected error occurred during payment cancellation. Please check the logs for more details.","Bei der Zahlungsstornierung ist ein unerwarteter Fehler aufgetreten. Bitte überprüfen Sie die Protokolle für weitere Details."
"Invalid request: %1","Ungültige Anfrage: %1"
"Payment required: %1","Zahlung erforderlich: %1"
"Resource not found: %1","Ressource nicht gefunden: %1"
"Operation conflict: %1","Operationskonflikt: %1"
"Validation error: %1","Validierungsfehler: %1"
"An error occurred during the payment process","Während des Zahlungsprozesses ist ein Fehler aufgetreten"
"Please enter the name on the card.","Bitte geben Sie den Namen auf der Karte ein."
"Please enter the name exactly as it appears on the card.","Bitte geben Sie den Namen genau so ein, wie er auf der Karte erscheint."
"(Test Mode)","(Testmodus)"
"Payment ID","Zahlungs-ID"
"Authorization Code","Autorisierungscode"
"Cardholder Email","E-Mail des Karteninhabers"
"IBAN","IBAN"
"Account Holder","Kontoinhaber"
"MONEI","MONEI"
"Current Version","Aktuelle Version"
"Webservice Settings:","Webservice-Einstellungen:"
"Mode","Modus"
"To define if we are going to connect with production or testing WS environment","Um zu definieren, ob wir eine Verbindung zur Produktions- oder Testumgebung herstellen"
"Test Account Id","Test-Konto-ID"
"Production Account Id","Produktions-Konto-ID"
"Test Api Key","Test-API-Schlüssel"
"Production Api Key","Produktions-API-Schlüssel"
"Language","Sprache"
"Basic settings:","Grundeinstellungen:"
"Email Settings:","E-Mail-Einstellungen:"
"Send Order Email","Bestellbestätigung senden"
"Send Invoice Email","Rechnungs-E-Mail senden"
"Controls whether to send order confirmation emails after payment is confirmed","Steuert, ob Bestellbestätigungs-E-Mails nach Zahlungsbestätigung gesendet werden"
"Controls whether to send invoice emails for automatically created invoices. Does not affect manually created invoices, for which merchants can choose to notify customers during creation.","Steuert, ob Rechnungs-E-Mails für automatisch erstellte Rechnungen gesendet werden. Hat keinen Einfluss auf manuell erstellte Rechnungen, bei denen Händler wählen können, ob Kunden während der Erstellung benachrichtigt werden sollen."
"MONEI Redirect:","MONEI-Weiterleitung:"
"Enable","Aktivieren"
"Title","Titel"
"Description","Beschreibung"
"Payment from Applicable Countries","Zahlung aus anwendbaren Ländern"
"Payment from Specific Countries","Zahlung aus bestimmten Ländern"
"Sort Order","Sortierreihenfolge"
"MONEI Card Insite:","MONEI-Karte vor Ort:"
"Enable tokenization","Tokenisierung aktivieren"
"Json style","JSON-Stil"
"MONEI Bizum Insite:","MONEI Bizum vor Ort:"
"MONEI Google and Apple Pay Insite:","MONEI Google und Apple Pay vor Ort:"
"Title Google Pay","Titel Google Pay"
"Title Apple Pay","Titel Apple Pay"
"Title Multibanco","Titel Multibanco"
"Title MBWay","Titel MBWay"
"Multibanco Redirect:","Multibanco-Weiterleitung:"
"MBWay Redirect:","MBWay-Weiterleitung:"
"MONEI PayPal Insite:","MONEI PayPal vor Ort:"
"Select 'Yes' if you want to enable this payment method. Otherwise 'No'.","Wählen Sie 'Ja', wenn Sie diese Zahlungsmethode aktivieren möchten. Andernfalls 'Nein'."
"Text that will be displayed in checkout","Text, der im Checkout angezeigt wird"
"Text that will be displayed in checkout for Google Pay","Text, der im Checkout für Google Pay angezeigt wird"
"Text that will be displayed in checkout for Apple Pay","Text, der im Checkout für Apple Pay angezeigt wird"
"Text that will be displayed in checkout for Multibanco","Text, der im Checkout für Multibanco angezeigt wird"
"Text that will be displayed in checkout for MBWay","Text, der im Checkout für MBWay angezeigt wird"
"Small description that will be displayed in checkout (Under title)","Kleine Beschreibung, die im Checkout angezeigt wird (unter dem Titel)"
"Selectable with all the processing order statuses","Auswählbar mit allen Bestellstatus in Bearbeitung"
"Selectable with all the pending order statuses","Auswählbar mit allen ausstehenden Bestellstatus"
"In which order the payment method will be displayed in checkout","In welcher Reihenfolge die Zahlungsmethode im Checkout angezeigt wird"
"Are you certain you want to cancel this order? This action will automatically cancel the authorized (uncaptured) payment and release the customer's funds.","Sind Sie sicher, dass Sie diese Bestellung stornieren möchten? Diese Aktion storniert automatisch die autorisierte (nicht erfasste) Zahlung und gibt die Gelder des Kunden frei."
"Cancel the order","Bestellung stornieren"
"Never mind","Nicht wichtig"
"Cancel","Abbrechen"
"Cancellation reason","Stornierungsgrund"
"MONEI API key is not configured. Please set it in the module configuration.","Der MONEI-API-Schlüssel ist nicht konfiguriert. Bitte setzen Sie ihn in der Modulkonfiguration."
"Custom json style for the card component. View more info <a href=\"https://docs.monei.com/docs/monei-js/reference/#cardinput-style-object\" target=\"_blank\" rel=\"noopener noreferrer\">here</a>","Benutzerdefinierter JSON-Stil für die Kartenkomponente. Weitere Informationen <a href=\"https://docs.monei.com/docs/monei-js/reference/#cardinput-style-object\" target=\"_blank\" rel=\"noopener noreferrer\">hier</a>"
"Custom json style for the bizum component. View more info <a href=\"https://docs.monei.com/docs/monei-js/reference/#bizum-options\" target=\"_blank\" rel=\"noopener noreferrer\">here</a>","Benutzerdefinierter JSON-Stil für die Bizum-Komponente. Weitere Informationen <a href=\"https://docs.monei.com/docs/monei-js/reference/#bizum-options\" target=\"_blank\" rel=\"noopener noreferrer\">hier</a>"
"Custom json style for the google and apple component. View more info <a href=\"https://docs.monei.com/docs/monei-js/reference/#paymentrequest-options\" target=\"_blank\" rel=\"noopener noreferrer\">here</a>","Benutzerdefinierter JSON-Stil für die Google- und Apple-Komponente. Weitere Informationen <a href=\"https://docs.monei.com/docs/monei-js/reference/#paymentrequest-options\" target=\"_blank\" rel=\"noopener noreferrer\">hier</a>"
"Allowed Countries","Erlaubte Länder"
"Checking payment status...","Zahlungsstatus wird überprüft..."
"Checking payment status, it may take a few seconds...","Zahlungsstatus wird überprüft, es kann einige Sekunden dauern..."
"Loading","Wird geladen"
"Payment error: %1","Zahlungsfehler: %1"
"Payment error with code %1: %2","Zahlungsfehler mit Code %1: %2"
"Payment was canceled by the customer or the payment processor","Die Zahlung wurde vom Kunden oder vom Zahlungsabwickler storniert"
"Payment expired","Zahlung abgelaufen"
"Transaction approved","Transaktion genehmigt"
"Service internal error. Please contact support","Interner Servicefehler. Bitte kontaktieren Sie den Support"
"Transaction failed during payment processing","Transaktion während der Zahlungsverarbeitung fehlgeschlagen"
"Transaction declined by the card-issuing bank","Transaktion von der kartenausstellenden Bank abgelehnt"
"Transaction declined by the issuing bank","Transaktion von der ausstellenden Bank abgelehnt"
