"Authorize","Autoriseeri"
"Authorize and Capture","Autoriseeri ja Kinnita"
"Payment Action","Makse Tegevus"
"Choose whether to only authorize payments or to authorize and capture them immediately. Note: Pre-authorization (Authorize option) is only supported for card payments, not for MBWay or Multibanco.","Valige, kas soovite makseid ainult autoriseerida või neid kohe autoriseerida ja kinnitada. Märkus: Eelautoriseerimine (Autoriseeri valik) on toetatud ainult kaardimaksete puhul, mitte MBWay või Multibanco puhul."
"Authorized Status","Autoriseeritud Olek"
"Captured Status","Kinnitatud Olek"
"Test","Test"
"Production","Tootmine"
"Callback signature verification failed","Tagasikutse allkirja kontrollimine ebaõnnestus"
"Something went wrong while processing the payment. Quote was restored.","Makse töötlemisel läks midagi valesti. Ostukorv taastati."
"Something went wrong while processing the payment. Cannot restore previous quote.","Makse töötlemisel läks midagi valesti. Eelmist ostukorvi ei saa taastada."
"Payment was canceled. Quote was restored.","Makse tühistati. Ostukorv taastati."
"Duplicated","Dubleeritud"
"Fraudulent","Petturlik"
"Requested by customer","Kliendi poolt taotletud"
"Required parameter ""%1"" is missing or empty.","Nõutav parameeter ""%1"" puudub või on tühi."
"MONEI - Pending","MONEI - Ootel"
"MONEI - Authorized","MONEI - Autoriseeritud"
"MONEI - Expired","MONEI - Aegunud"
"MONEI - Failed","MONEI - Ebaõnnestunud"
"MONEI - Succeeded","MONEI - Õnnestunud"
"MONEI - Partially Refunded","MONEI - Osaliselt Tagastatud"
"MONEI - Refunded","MONEI - Tagastatud"
"Cancellation reason '%1' is not valid. Allowed reasons: %2","Tühistamise põhjus '%1' ei ole kehtiv. Lubatud põhjused: %2"
"%1 should be numeric value","%1 peaks olema numbriline väärtus"
"Refund reason","Tagastamise põhjus"
"Pay with Monei","Maksa MONEI-ga"
"method:","Meetod"
"last4:","Viimased 4 numbrit"
"brand:","Bränd"
"phoneNumber:","Telefoninumber"
"Cardholder","Kaardi omanik"
"Payment Method","Makseviis"
"Digital Wallet","Digitaalne Rahakott"
"Issuing Bank","Väljastav Pank"
"Phone Number","Telefoninumber"
"Country","Riik"
"Country Code","Riigi kood"
