"Authorize","Valtuuta"
"Authorize and Capture","Valtuuta ja Veloita"
"Payment Action","Maksutoiminto"
"Choose whether to only authorize payments or to authorize and capture them immediately. Note: Pre-authorization (Authorize option) is only supported for card payments, not for MBWay or Multibanco.","Valitse, haluatko vain valtuuttaa maksut vai valtuuttaa ja veloittaa ne välittömästi. Huomaa: Ennakkovaltuutus (Valtuuta-vaihtoehto) on tuettu vain korttimaksuille, ei MBWay- tai Multibanco-maksuille."
"Authorized Status","Valtuutettu Tila"
"Captured Status","Veloitettu Tila"
"Test","Testi"
"Production","Tuotanto"
"Callback signature verification failed","Takaisinkutsun allekirjoituksen vahvistus epäonnistui"
"Something went wrong while processing the payment. Quote was restored.","Jotain meni pieleen maksua käsiteltäessä. Ostoskori palautettiin."
"Something went wrong while processing the payment. Cannot restore previous quote.","Jotain meni pieleen maksua käsiteltäessä. Edellistä ostoskoria ei voida palauttaa."
"Payment was canceled. Quote was restored.","Maksu peruutettiin. Ostoskori palautettiin."
"Duplicated","Kopioitu"
"Fraudulent","Vilpillinen"
"Requested by customer","Asiakkaan pyytämä"
"Required parameter ""%1"" is missing or empty.","Vaadittu parametri ""%1"" puuttuu tai on tyhjä."
"MONEI - Pending","MONEI - Odottaa"
"MONEI - Authorized","MONEI - Valtuutettu"
"MONEI - Expired","MONEI - Vanhentunut"
"MONEI - Failed","MONEI - Epäonnistunut"
"MONEI - Succeeded","MONEI - Onnistunut"
"MONEI - Partially Refunded","MONEI - Osittain Palautettu"
"MONEI - Refunded","MONEI - Palautettu"
"Cancellation reason '%1' is not valid. Allowed reasons: %2","Peruutussyy '%1' ei ole kelvollinen. Sallitut syyt: %2"
"%1 should be numeric value","%1 pitäisi olla numeerinen arvo"
"Refund reason","Palautuksen syy"
"Pay with Monei","Maksa MONEI:lla"
"method:","Menetelmä"
"last4:","Viimeiset 4 numeroa"
"brand:","Brändi"
"phoneNumber:","Puhelinnumero"
"Cardholder","Kortinhaltija"
"Payment Method","Maksutapa"
"Digital Wallet","Digitaalinen Lompakko"
"Issuing Bank","Myöntävä Pankki"
"Phone Number","Puhelinnumero"
"Country","Maa"
"Country Code","Maakoodi"
