"Authorize","Autorizza"
"Authorize and Capture","Autorizza e Cattura"
"Payment Action","Azione di Pagamento"
"Choose whether to only authorize payments or to authorize and capture them immediately. Note: Pre-authorization (Authorize option) is only supported for card payments, not for MBWay or Multibanco.","Scegli se autorizzare solo i pagamenti o autorizzarli e catturarli immediatamente. Nota: La pre-autorizzazione (opzione Autorizza) è supportata solo per i pagamenti con carta, non per MBWay o Multibanco."
"Authorized Status","Stato Autorizzato"
"Captured Status","Stato Catturato"
"Test","Test"
"Production","Produzione"
"Callback signature verification failed","Verifica della firma di callback fallita"
"Something went wrong while processing the payment. Quote was restored.","Si è verificato un errore durante l'elaborazione del pagamento. Il carrello è stato ripristinato."
"Something went wrong while processing the payment. Cannot restore previous quote.","Si è verificato un errore durante l'elaborazione del pagamento. Impossibile ripristinare il carrello precedente."
"Payment was canceled. Quote was restored.","Il pagamento è stato annullato. Il carrello è stato ripristinato."
"Duplicated","Duplicato"
"Fraudulent","Fraudolento"
"Requested by customer","Richiesto dal cliente"
"Required parameter ""%1"" is missing or empty.","Il parametro richiesto ""%1"" è mancante o vuoto."
"MONEI - Pending","MONEI - In attesa"
"MONEI - Authorized","MONEI - Autorizzato"
"MONEI - Expired","MONEI - Scaduto"
"MONEI - Failed","MONEI - Fallito"
"MONEI - Succeeded","MONEI - Riuscito"
"MONEI - Partially Refunded","MONEI - Parzialmente Rimborsato"
"MONEI - Refunded","MONEI - Rimborsato"
"Cancellation reason '%1' is not valid. Allowed reasons: %2","Il motivo di annullamento '%1' non è valido. Motivi consentiti: %2"
"%1 should be numeric value","%1 deve essere un valore numerico"
"Refund reason","Motivo del rimborso"
"Pay with Monei","Paga con MONEI"
"method:","Metodo"
"last4:","Ultime 4 cifre"
"brand:","Marca"
"phoneNumber:","Numero di telefono"
"Cardholder","Titolare della carta"
"Payment Method","Metodo di pagamento"
"Digital Wallet","Portafoglio digitale"
"Issuing Bank","Banca emittente"
"Phone Number","Numero di telefono"
"Country","Paese"
"Country Code","Codice paese"
"Required parameters are missing. Cannot proceed with cancellation.","Parametri richiesti mancanti. Impossibile procedere con l'annullamento."
"MONEI payment cancellation failed: %1","Annullamento del pagamento MONEI fallito: %1"
"MONEI payment cancellation failed. Please check the logs for more details.","Annullamento del pagamento MONEI fallito. Controlla i log per maggiori dettagli."
"The order has been successfully canceled.","L'ordine è stato annullato con successo."
"Order cancellation failed: %1","Annullamento dell'ordine fallito: %1"
"An unexpected error occurred during payment cancellation. Please check the logs for more details.","Si è verificato un errore imprevisto durante l'annullamento del pagamento. Controlla i log per maggiori dettagli."
"Invalid request: %1","Richiesta non valida: %1"
"Payment required: %1","Pagamento richiesto: %1"
"Resource not found: %1","Risorsa non trovata: %1"
"Operation conflict: %1","Conflitto di operazione: %1"
"Validation error: %1","Errore di validazione: %1"
"An error occurred during the payment process","Si è verificato un errore durante il processo di pagamento"
"Please enter the name on the card.","Inserisci il nome sulla carta."
"Please enter the name exactly as it appears on the card.","Inserisci il nome esattamente come appare sulla carta."
"(Test Mode)","(Modalità Test)"
"Payment ID","ID Pagamento"
"Authorization Code","Codice di Autorizzazione"
"Cardholder Email","Email del Titolare"
"IBAN","IBAN"
"Account Holder","Titolare del Conto"
"MONEI","MONEI"
"Current Version","Versione Attuale"
"Webservice Settings:","Impostazioni Webservice:"
"Mode","Modalità"
"To define if we are going to connect with production or testing WS environment","Per definire se ci connetteremo con l'ambiente di produzione o di test"
"Test Account Id","ID Account di Test"
"Production Account Id","ID Account di Produzione"
"Test Api Key","Chiave API di Test"
"Production Api Key","Chiave API di Produzione"
"Language","Lingua"
"Basic settings:","Impostazioni di base:"
"Email Settings:","Impostazioni Email:"
"Send Order Email","Invia Email Ordine"
"Send Invoice Email","Invia Email Fattura"
"Controls whether to send order confirmation emails after payment is confirmed","Controlla se inviare email di conferma dell'ordine dopo la conferma del pagamento"
"Controls whether to send invoice emails for automatically created invoices. Does not affect manually created invoices, for which merchants can choose to notify customers during creation.","Controlla se inviare email di fattura per le fatture create automaticamente. Non influisce sulle fatture create manualmente, per le quali i commercianti possono scegliere di notificare i clienti durante la creazione."
"MONEI Redirect:","Reindirizzamento MONEI:"
"Enable","Abilita"
"Title","Titolo"
"Description","Descrizione"
"Payment from Applicable Countries","Pagamento da Paesi Applicabili"
"Payment from Specific Countries","Pagamento da Paesi Specifici"
"Sort Order","Ordine di Ordinamento"
"MONEI Card Insite:","Carta MONEI sul Sito:"
"Enable tokenization","Abilita tokenizzazione"
"Json style","Stile Json"
"MONEI Bizum Insite:","Bizum MONEI sul Sito:"
"MONEI Google and Apple Pay Insite:","Google e Apple Pay MONEI sul Sito:"
"Title Google Pay","Titolo Google Pay"
"Title Apple Pay","Titolo Apple Pay"
"Title Multibanco","Titolo Multibanco"
"Title MBWay","Titolo MBWay"
"Multibanco Redirect:","Reindirizzamento Multibanco:"
"MBWay Redirect:","Reindirizzamento MBWay:"
"MONEI PayPal Insite:","PayPal MONEI sul Sito:"
"Select 'Yes' if you want to enable this payment method. Otherwise 'No'.","Seleziona 'Sì' se vuoi abilitare questo metodo di pagamento. Altrimenti 'No'."
"Text that will be displayed in checkout","Testo che verrà visualizzato nel checkout"
"Text that will be displayed in checkout for Google Pay","Testo che verrà visualizzato nel checkout per Google Pay"
"Text that will be displayed in checkout for Apple Pay","Testo che verrà visualizzato nel checkout per Apple Pay"
"Text that will be displayed in checkout for Multibanco","Testo che verrà visualizzato nel checkout per Multibanco"
"Text that will be displayed in checkout for MBWay","Testo che verrà visualizzato nel checkout per MBWay"
"Small description that will be displayed in checkout (Under title)","Piccola descrizione che verrà visualizzata nel checkout (Sotto il titolo)"
"Selectable with all the processing order statuses","Selezionabile con tutti gli stati dell'ordine in elaborazione"
"Selectable with all the pending order statuses","Selezionabile con tutti gli stati dell'ordine in attesa"
"In which order the payment method will be displayed in checkout","In quale ordine il metodo di pagamento verrà visualizzato nel checkout"
"Are you certain you want to cancel this order? This action will automatically cancel the authorized (uncaptured) payment and release the customer's funds.","Sei sicuro di voler annullare questo ordine? Questa azione annullerà automaticamente il pagamento autorizzato (non catturato) e rilascerà i fondi del cliente."
"Cancel the order","Annulla l'ordine"
"Never mind","Non importa"
"Cancel","Annulla"
"Cancellation reason","Motivo dell'annullamento"
"MONEI API key is not configured. Please set it in the module configuration.","La chiave API MONEI non è configurata. Impostala nella configurazione del modulo."
"Custom json style for the card component. View more info <a href=\"https://docs.monei.com/docs/monei-js/reference/#cardinput-style-object\" target=\"_blank\" rel=\"noopener noreferrer\">here</a>","Stile json personalizzato per il componente carta. Visualizza maggiori informazioni <a href=\"https://docs.monei.com/docs/monei-js/reference/#cardinput-style-object\" target=\"_blank\" rel=\"noopener noreferrer\">qui</a>"
"Custom json style for the bizum component. View more info <a href=\"https://docs.monei.com/docs/monei-js/reference/#bizum-options\" target=\"_blank\" rel=\"noopener noreferrer\">here</a>","Stile json personalizzato per il componente bizum. Visualizza maggiori informazioni <a href=\"https://docs.monei.com/docs/monei-js/reference/#bizum-options\" target=\"_blank\" rel=\"noopener noreferrer\">qui</a>"
"Custom json style for the google and apple component. View more info <a href=\"https://docs.monei.com/docs/monei-js/reference/#paymentrequest-options\" target=\"_blank\" rel=\"noopener noreferrer\">here</a>","Stile json personalizzato per il componente google e apple. Visualizza maggiori informazioni <a href=\"https://docs.monei.com/docs/monei-js/reference/#paymentrequest-options\" target=\"_blank\" rel=\"noopener noreferrer\">qui</a>"
"Allowed Countries","Paesi Consentiti"
"Checking payment status...","Controllo dello stato del pagamento..."
"Checking payment status, it may take a few seconds...","Controllo dello stato del pagamento, potrebbe richiedere alcuni secondi..."
"Loading","Caricamento"
"Payment error: %1","Errore di pagamento: %1"
"Payment error with code %1: %2","Errore di pagamento con codice %1: %2"
"Payment was canceled by the customer or the payment processor","Il pagamento è stato annullato dal cliente o dal processore di pagamento"
"Payment expired","Pagamento scaduto"
"Transaction approved","Transazione approvata"
"Service internal error. Please contact support","Errore interno del servizio. Contatta l'assistenza"
"Transaction failed during payment processing","Transazione fallita durante l'elaborazione del pagamento"
"Transaction declined by the card-issuing bank","Transazione rifiutata dalla banca emittente della carta"
"Transaction declined by the issuing bank","Transazione rifiutata dalla banca emittente"
"Payment method not allowed","Metodo di pagamento non consentito"
"Wrong or not allowed currency","Valuta errata o non consentita"
"Card rejected: invalid card number","Carta rifiutata: numero di carta non valido"
"Card rejected: wrong expiration date","Carta rifiutata: data di scadenza errata"
"Card rejected: wrong CVC/CVV2 number","Carta rifiutata: numero CVC/CVV2 errato"
"Card number not registered","Numero di carta non registrato"
"Card is expired","La carta è scaduta"
"Strong Customer Authentication required","Autenticazione Forte del Cliente richiesta"
"3D Secure authentication failed","Autenticazione 3D Secure fallita"
"Authentication process timed out. Please try again","Processo di autenticazione scaduto. Riprova"
"Transaction declined due to insufficient funds","Transazione rifiutata per fondi insufficienti"
"The user has canceled the payment","L'utente ha annullato il pagamento"
"Unknown error code: %1","Codice di errore sconosciuto: %1"
"You do not have permission to save this configuration.","Non hai il permesso di salvare questa configurazione."
"Invalid JSON format in %1 field: %2. Please ensure that you provide valid JSON. Examples:
                - For a simple style: {"height":"45px"}
                - For nested properties: {"base":{"height":"30px","padding":"0"},"input":{"height":"30px"}}
                - Make sure all property names and string values are enclosed in double quotes
                - No trailing commas allowed after the last property","Formato JSON non valido nel campo %1: %2. Assicurati di fornire un JSON valido. Esempi:
                - Per uno stile semplice: {"height":"45px"}
                - Per proprietà annidate: {"base":{"height":"30px","padding":"0"},"input":{"height":"30px"}}
                - Assicurati che tutti i nomi delle proprietà e i valori delle stringhe siano racchiusi tra virgolette doppie
                - Non sono consentite virgole finali dopo l'ultima proprietà"
"The resource isn't set.","La risorsa non è impostata."
"An error occurred rendering the pay with card. Please try again later.","Si è verificato un errore durante il rendering del pagamento con carta. Riprova più tardi."
"Name on card","Nome sulla carta"
"Card number","Numero della carta"
"Save payment information to my account for future purchases","Salva le informazioni di pagamento sul mio account per acquisti futuri"
"An error occurred trying save the card.","Si è verificato un errore nel tentativo di salvare la carta."
"expires","scade"
"It is not possible to make the payment with the saved card.","Non è possibile effettuare il pagamento con la carta salvata."
"Save MONEI tokenization?","Salvare la tokenizzazione MONEI?"
"MONEI payment methods are not available. Please, check your MONEI configuration.","I metodi di pagamento MONEI non sono disponibili. Controlla la tua configurazione MONEI."
"Bizum payment method is not available in your MONEI account. Please enable it in your MONEI account to use it.","Il metodo di pagamento Bizum non è disponibile nel tuo account MONEI. Abilitalo nel tuo account MONEI per utilizzarlo."
"Card payment method is not available in your MONEI account. Please enable it in your MONEI account to use it.","Il metodo di pagamento con carta non è disponibile nel tuo account MONEI. Abilitalo nel tuo account MONEI per utilizzarlo."
"Google Pay and Apple Pay payment methods are not available in your MONEI account. Enable at least one of them in your MONEI account to use it.","I metodi di pagamento Google Pay e Apple Pay non sono disponibili nel tuo account MONEI. Abilita almeno uno di essi nel tuo account MONEI per utilizzarlo."
"Multibanco payment method is not available in your MONEI account. Please enable it in your MONEI account to use it.","Il metodo di pagamento Multibanco non è disponibile nel tuo account MONEI. Abilitalo nel tuo account MONEI per utilizzarlo."
"MBWay payment method is not available in your MONEI account. Please enable it in your MONEI account to use it.","Il metodo di pagamento MBWay non è disponibile nel tuo account MONEI. Abilitalo nel tuo account MONEI per utilizzarlo."
"Payment failed: %1","Pagamento fallito: %1"
"Payment failed with error code %1: %2","Pagamento fallito con codice di errore %1: %2"
"Stored Cards","Carte Salvate"
"Place Order","Effettua Ordine"
"Check / Money order","Assegno / Vaglia"
"Pay with other payment methods","Paga con altri metodi di pagamento"
"Pay with card","Paga con carta"
"Google Pay","Google Pay"
"Multibanco","Multibanco"
"MBWay","MBWay"
"Bizum","Bizum"
"Stored Cards (Monei)","Carte Salvate (MONEI)"
"Google/Apple Pay","Google/Apple Pay"
"Processing Payment","Elaborazione Pagamento"
"Format JSON","Formatta JSON"
"Invalid JSON","JSON non valido"
"The JSON entered is invalid: %1","Il JSON inserito non è valido: %1"
"Please enter valid JSON. Examples: {"height":"45px"} or {"base":{"height":"30px"}}","Inserisci un JSON valido. Esempi: {"height":"45px"} o {"base":{"height":"30px"}}"
"An error occurred with the payment. Please try again.","Si è verificato un errore con il pagamento. Riprova."
"There was an error processing your payment. Please try again.","Si è verificato un errore durante l'elaborazione del pagamento. Riprova."
"Ok","Ok"
"Are you sure you want to cancel this order?","Sei sicuro di voler annullare questo ordine?"
"English","Inglese"
"Spanish","Spagnolo"
"Catalan","Catalano"
"Portuguese","Portoghese"
"German","Tedesco"
"Italian","Italiano"
"French","Francese"
"Dutch","Olandese"
"Estonian","Estone"
"Finnish","Finlandese"
"Latvian","Lettone"
"Norwegian","Norvegese"
"Polish","Polacco"
"Russian","Russo"
"Card","Carta"
"The credit memo's total must be positive.","Il totale della nota di credito deve essere positivo."
"Cannot create online refund for Refund to Store Credit.","Impossibile creare un rimborso online per il Rimborso al Credito del Negozio."
"You created the credit memo.","Hai creato la nota di credito."
"We can't save the credit memo right now.","Non possiamo salvare la nota di credito in questo momento."
"Your payment was canceled. Your cart has been restored so you can try again.","Il tuo pagamento è stato annullato. Il tuo carrello è stato ripristinato così puoi riprovare."
"Your payment expired. Your cart has been restored so you can try again.","Il tuo pagamento è scaduto. Il tuo carrello è stato ripristinato così puoi riprovare."
"There was a problem processing your payment. Your cart has been restored so you can try again.","Si è verificato un problema durante l'elaborazione del tuo pagamento. Il tuo carrello è stato ripristinato così puoi riprovare."
"Invalid form key. Please refresh the page.","Chiave del modulo non valida. Aggiorna la pagina."
"No order found. Please return to checkout and try again.","Nessun ordine trovato. Torna al checkout e riprova."
"Unable to process payment. Please try again.","Impossibile elaborare il pagamento. Riprova."
"Cannot capture payment: Missing payment ID","Impossibile catturare il pagamento: ID pagamento mancante"
"Error capturing payment: %1","Errore durante la cattura del pagamento: %1"
"Cannot process refund: Monei payment ID is missing.","Impossibile elaborare il rimborso: ID pagamento Monei mancante."
"Error processing refund: %1","Errore durante l'elaborazione del rimborso: %1"
"•••• %1","•••• %1"
"PayPal payment method is not available in your Monei account. Please enable it in your Monei account to use it.","Il metodo di pagamento PayPal non è disponibile nel tuo account Monei. Abilitalo nel tuo account Monei per utilizzarlo."
"Error","Errore"
"Warning","Avviso"
"Info","Info"
"Debug","Debug"
"Insite","Sul Sito"
"Missing required field: %1","Campo obbligatorio mancante: %1"
"Failed to convert Payment object to DTO: %1","Impossibile convertire l'oggetto Pagamento in DTO: %1"
"MONEI Payment Error: %1","Errore di Pagamento MONEI: %1"
"Unable to acquire payment lock for order %1, payment %2","Impossibile acquisire il blocco del pagamento per l'ordine %1, pagamento %2"
"Unable to acquire order lock for order %1","Impossibile acquisire il blocco per l'ordine %1"
"Failed to fetch payment data: %1","Impossibile recuperare i dati del pagamento: %1"
"Order status set to %1 after full refund.","Stato dell'ordine impostato a %1 dopo il rimborso completo."
"Failed to execute %1: %2","Impossibile eseguire %1: %2"
"Store configuration issue: %1","Problema di configurazione del negozio: %1"
"An unexpected error occurred: %1","Si è verificato un errore imprevisto: %1"
"Parameter ""%1"" failed validation.","Il parametro ""%1"" non ha superato la validazione."
"Authentication error: Please check your MONEI API credentials","Errore di autenticazione: Verifica le tue credenziali API MONEI"
"Access denied: Your account does not have permission for this operation","Accesso negato: Il tuo account non ha i permessi per questa operazione"
"Too many requests: Please try again later","Troppe richieste: Riprova più tardi"
"MONEI payment service is currently unavailable. Please try again later.","Il servizio di pagamento MONEI non è attualmente disponibile. Riprova più tardi."
"Payment ID is required to retrieve payment details","L'ID del pagamento è necessario per recuperare i dettagli del pagamento"
"Failed to initialize MONEI payment gateway: %1","Impossibile inizializzare il gateway di pagamento MONEI: %1"
"Cannot reinitialize MONEI SDK with an empty API key","Impossibile reinizializzare l'SDK MONEI con una chiave API vuota"
"Authentication error during reinitialization: Please check your MONEI API credentials","Errore di autenticazione durante la reinizializzazione: Verifica le tue credenziali API MONEI"
"Failed to reinitialize MONEI payment gateway: %1","Impossibile reinizializzare il gateway di pagamento MONEI: %1"
"Domain is required for Apple Pay verification","Il dominio è necessario per la verifica di Apple Pay"
"Could not load quote information","Impossibile caricare le informazioni del preventivo"
"Quote not found for this cart ID","Preventivo non trovato per questo ID carrello"
"An error occurred while retrieving quote information","Si è verificato un errore durante il recupero delle informazioni del preventivo"
"Customer must be logged in to use saved cards","Il cliente deve essere loggato per utilizzare le carte salvate"
"The requested saved card was not found","La carta salvata richiesta non è stata trovata"
"Quote or payment card information not found","Informazioni del preventivo o della carta di pagamento non trovate"
"Could not retrieve the saved card information.","Impossibile recuperare le informazioni della carta salvata."
"MONEI only supports a single partial capture per payment. Please capture the full remaining amount.","MONEI supporta solo una cattura parziale per pagamento. Cattura l'importo rimanente completo."
"Cannot create an invoice without items.","Impossibile creare una fattura senza articoli."
"Payment not found","Pagamento non trovato"
"Payment cannot be refunded","Il pagamento non può essere rimborsato"
"Quote not found","Preventivo non trovato"
"Error processing payment","Errore durante l'elaborazione del pagamento"
"Error processing payment with saved card","Errore durante l'elaborazione del pagamento con carta salvata"
"Customer Email","Email del Cliente"
"Customer Name","Nome del Cliente"
"PayPal Order ID","ID Ordine PayPal"
"PayPal Customer ID","ID Cliente PayPal"
"Payment details will be available after payment confirmation","I dettagli del pagamento saranno disponibili dopo la conferma del pagamento"
"Payment &amp; Shipping Method","Metodo di Pagamento e Spedizione"
"Payment Information","Informazioni di Pagamento"
"Shipping Information","Informazioni di Spedizione"
"Total Shipping Charges","Spese di Spedizione Totali"
"Incl. Tax","IVA Incl."
"Refund Information","Informazioni sul Rimborso"
"MONEI Payment Details","Dettagli Pagamento MONEI"
"Payment ID:","ID Pagamento:"
"Status:","Stato:"
"Error Code:","Codice Errore:"
"Error Message:","Messaggio di Errore:"
"Amount:","Importo:"
"Last Updated:","Ultimo Aggiornamento:"
"Log Level","Livello di Log"
"Select the logging level for debug purposes. Higher levels include all lower levels.","Seleziona il livello di log per scopi di debug. I livelli più alti includono tutti i livelli inferiori."
"Custom json style for the PayPal component. Must be valid JSON format. View more info <a href=""https://docs.monei.com/docs/monei-js/reference/#paypal-options"" target=""_blank"" rel=""noopener noreferrer"">here</a>","Stile json personalizzato per il componente PayPal. Deve essere in formato JSON valido. Visualizza maggiori informazioni <a href=""https://docs.monei.com/docs/monei-js/reference/#paypal-options"" target=""_blank"" rel=""noopener noreferrer"">qui</a>"
