"Authorize","Autorizēt"
"Authorize and Capture","Autorizēt un Iekasēt"
"Payment Action","Maksājuma Darbība"
"Choose whether to only authorize payments or to authorize and capture them immediately. Note: Pre-authorization (Authorize option) is only supported for card payments, not for MBWay or Multibanco.","Izvēlieties, vai tikai autorizēt maksājumus vai autorizēt un iekasēt tos nekavējoties. Piezīme: Iepriekšēja autorizācija (Autorizēt opcija) ir atbalstīta tikai karšu maksājumiem, nevis MBWay vai Multibanco."
"Authorized Status","Autorizēts Statuss"
"Captured Status","Iekasēts Statuss"
"Test","Tests"
"Production","Produkcija"
"Callback signature verification failed","Atgriezeniskā zvana paraksta verifikācija neizdevās"
"Something went wrong while processing the payment. Quote was restored.","Kaut kas nogāja greizi, apstrādājot maksājumu. Grozs tika atjaunots."
"Something went wrong while processing the payment. Cannot restore previous quote.","Kaut kas nogāja greizi, apstrādājot maksājumu. Nevar atjaunot iepriekšējo grozu."
"Payment was canceled. Quote was restored.","Maksājums tika atcelts. Grozs tika atjaunots."
"Duplicated","Dublēts"
"Fraudulent","Krāpniecisks"
"Requested by customer","Klienta pieprasīts"
"Required parameter ""%1"" is missing or empty.","Nepieciešamais parametrs ""%1"" trūkst vai ir tukšs."
"MONEI - Pending","MONEI - Gaida"
"MONEI - Authorized","MONEI - Autorizēts"
"MONEI - Expired","MONEI - Beidzies termiņš"
"MONEI - Failed","MONEI - Neizdevās"
"MONEI - Succeeded","MONEI - Veiksmīgs"
"MONEI - Partially Refunded","MONEI - Daļēji Atmaksāts"
"MONEI - Refunded","MONEI - Atmaksāts"
"Cancellation reason '%1' is not valid. Allowed reasons: %2","Atcelšanas iemesls '%1' nav derīgs. Atļautie iemesli: %2"
"%1 should be numeric value","%1 jābūt skaitliskai vērtībai"
"Refund reason","Atmaksas iemesls"
"Pay with Monei","Maksāt ar MONEI"
"method:","metode:"
"last4:","pēdējie 4:"
"brand:","zīmols:"
"phoneNumber:","tālruņa numurs:"
"Cardholder","Kartes īpašnieks"
"Payment Method","Maksājuma Metode"
"Digital Wallet","Digitālais Maks"
"Issuing Bank","Izdevējbanka"
"Phone Number","Tālruņa Numurs"
"Country","Valsts"
"Country Code","Valsts Kods"
"Required parameters are missing. Cannot proceed with cancellation.","Trūkst nepieciešamo parametru. Nevar turpināt atcelšanu."
"MONEI payment cancellation failed: %1","MONEI maksājuma atcelšana neizdevās: %1"
"MONEI payment cancellation failed. Please check the logs for more details.","MONEI maksājuma atcelšana neizdevās. Lūdzu, pārbaudiet žurnālus, lai iegūtu vairāk informācijas."
"The order has been successfully canceled.","Pasūtījums ir veiksmīgi atcelts."
"Order cancellation failed: %1","Pasūtījuma atcelšana neizdevās: %1"
"An unexpected error occurred during payment cancellation. Please check the logs for more details.","Maksājuma atcelšanas laikā radās neparedzēta kļūda. Lūdzu, pārbaudiet žurnālus, lai iegūtu vairāk informācijas."
"Invalid request: %1","Nederīgs pieprasījums: %1"
"Payment required: %1","Nepieciešams maksājums: %1"
"Resource not found: %1","Resurss nav atrasts: %1"
"Operation conflict: %1","Darbības konflikts: %1"
"Validation error: %1","Validācijas kļūda: %1"
"An error occurred during the payment process","Maksājuma procesa laikā radās kļūda"
"Please enter the name on the card.","Lūdzu, ievadiet vārdu uz kartes."
"Please enter the name exactly as it appears on the card.","Lūdzu, ievadiet vārdu tieši tā, kā tas parādās uz kartes."
"(Test Mode)","(Testa Režīms)"
"Payment ID","Maksājuma ID"
