"Authorize","Autorizar"
"Authorize and Capture","Autorizar e Capturar"
"Payment Action","Ação de Pagamento"
"Choose whether to only authorize payments or to authorize and capture them immediately. Note: Pre-authorization (Authorize option) is only supported for card payments, not for MBWay or Multibanco.","Escolha se deseja apenas autorizar pagamentos ou autorizá-los e capturá-los imediatamente. Nota: A pré-autorização (opção Autorizar) só é suportada para pagamentos com cartão, não para MBWay ou Multibanco."
"Authorized Status","Estado Autorizado"
"Captured Status","Estado Capturado"
"Test","Teste"
"Production","Produção"
"Callback signature verification failed","A verificação da assinatura de retorno falhou"
"Something went wrong while processing the payment. Quote was restored.","Ocorreu um erro ao processar o pagamento. O carrinho foi restaurado."
"Something went wrong while processing the payment. Cannot restore previous quote.","Ocorreu um erro ao processar o pagamento. Não é possível restaurar o carrinho anterior."
"Payment was canceled. Quote was restored.","O pagamento foi cancelado. O carrinho foi restaurado."
"Duplicated","Duplicado"
"Fraudulent","Fraudulento"
"Requested by customer","Solicitado pelo cliente"
"Required parameter ""%1"" is missing or empty.","O parâmetro obrigatório ""%1"" está ausente ou vazio."
"MONEI - Pending","MONEI - Pendente"
"MONEI - Authorized","MONEI - Autorizado"
"MONEI - Expired","MONEI - Expirado"
"MONEI - Failed","MONEI - Falhou"
"MONEI - Succeeded","MONEI - Bem-sucedido"
"MONEI - Partially Refunded","MONEI - Parcialmente Reembolsado"
"MONEI - Refunded","MONEI - Reembolsado"
"Cancellation reason '%1' is not valid. Allowed reasons: %2","O motivo de cancelamento '%1' não é válido. Motivos permitidos: %2"
"%1 should be numeric value","%1 deve ser um valor numérico"
"Refund reason","Motivo do reembolso"
"Pay with Monei","Pagar com MONEI"
"method:","Método"
"last4:","Últimos 4 dígitos"
"brand:","Marca"
"phoneNumber:","Número de telefone"
"Cardholder","Titular do cartão"
"Payment Method","Método de pagamento"
"Digital Wallet","Carteira digital"
"Issuing Bank","Banco emissor"
"Phone Number","Número de telefone"
"Country","País"
"Country Code","Código do país"
"Required parameters are missing. Cannot proceed with cancellation.","Faltam parâmetros obrigatórios. Não é possível prosseguir com o cancelamento."
"MONEI payment cancellation failed: %1","O cancelamento do pagamento MONEI falhou: %1"
"MONEI payment cancellation failed. Please check the logs for more details.","O cancelamento do pagamento MONEI falhou. Verifique os registros para mais detalhes."
"The order has been successfully canceled.","O pedido foi cancelado com sucesso."
"Order cancellation failed: %1","O cancelamento do pedido falhou: %1"
"An unexpected error occurred during payment cancellation. Please check the logs for more details.","Ocorreu um erro inesperado durante o cancelamento do pagamento. Verifique os registros para mais detalhes."
"Invalid request: %1","Solicitação inválida: %1"
"Payment required: %1","Pagamento necessário: %1"
"Resource not found: %1","Recurso não encontrado: %1"
"Operation conflict: %1","Conflito de operação: %1"
"Validation error: %1","Erro de validação: %1"
"An error occurred during the payment process","Ocorreu um erro durante o processo de pagamento"
"Please enter the name on the card.","Insira o nome no cartão."
